-0.132157 -0.06
-0.108511 -0.056
-0.0882097 -0.052
-0.0709117 -0.048
-0.0563017 -0.044
-0.0440902 -0.04
-0.0340112 -0.036
-0.0258195 -0.032
-0.0192892 -0.028
-0.0142105 -0.024
-0.0103883 -0.02
-0.0076399 -0.016
-0.00579227 -0.012
-0.00468036 -0.008
-0.00414465 -0.004
-0.00402899 -3.72529e-09
-0.00417838 0.004
-0.00443679 0.008
-0.00464488 0.012
-0.00463785 0.016
-0.00424319 0.02
-0.00327848 0.024
-0.00154917 0.028
0.00115359 0.032
0.00505526 0.036
0.0104 0.04
0.017453 0.044
0.0265026 0.048
0.0378625 0.052
0.0518742 0.056
0.0689088 0.06
